"rowname";"resHeaders";"Headquarters";"Value.chain";"Website";"Species";"Production.process";"Industry..Applications.";"Industry.subsector.tags";"Investors";"Association.focus";"Founding.year";"Annual.production..wet.weight.";"Start.up.scale.up.";"Investments";"Total.disclosed.investments.since.2020";"Development.stage";"Grants.associated";"Researchers.associated";"Team";"SEO.Slug";"SEO.Index";"fundraising"
66;"Algo Paint";"France";"Applications";"https://www.peinture-algo.fr/";"";"";"Pigments, inks, dyes, coatings";"";"";"";2015;"";NA;"";"$0";"Scale-up / Industrialisation";"";"";"Male CEO
Male founded";"algo-paint";"true";""
67;"Algo'manne";"France";"Farming & harvesting";"https://algomanne.com/";"Alaria sp.
Himanthalia elongata
Palmaria palmata
Porphyra sp.
Saccharina latissima";"Harvesting";"Food";"";"";"";NA;"10 - 100 tonnes";NA;"";"$0";"";"";"";"";"algomanne";"true";""
68;"Algocea";"France";"Farming & harvesting";"https://www.algocea.com/";"";"Harvesting";"Food";"";"";"";NA;"0 - 10 tonnes";NA;"";"$0";"";"";"";"";"algocea";"true";""
69;"Algolesko (Aleor)";"France";"Farming & harvesting";"https://www.algolesko.com/";"Saccharina latissima
Palmaria palmata";"Aquaculture
IMTA";"";"";"Crowdfunding";"";2013;"100 - 1000 tonnes";NA;"$1,397,433";"$1,397,433";"Scale-up / Industrialisation";"";"";"Male CEO
Male founded";"algolesko-aleor";"true";""
70;"Algologie";"France";"Applications";"https://www.algologie.com/";"";"";"Personal care";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"algologie";"true";""
71;"Algoon";"New Caledonia";"Farming & harvesting";"https://algoon.fr/";"";"";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"algoon";"true";""
72;"Algopack";"France";"Applications";"http://algopack.com/";"Sargassum sp.
Laminaria sp.";"";"Bioplastics";"";"";"";2010;"";NA;"";"$0";"Research / product development";"";"";"Male CEO
Male founded";"algopack";"true";""
73;"Algoplus";"France";"Farming & harvesting";"https://www.algoplus-roscoff.fr/";"Laminaria digitata
Palmaria palmata
Porphyra sp.
Ulva lactuca
Undaria sp.";"Harvesting";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"algoplus";"true";""
74;"Algorythme";"France";"Farming & harvesting";"https://algues-iledere.com/";"";"Harvesting";"Food";"";"";"";NA;"10 - 100 tonnes";NA;"";"$0";"";"";"";"";"algorythme";"true";""
75;"AlgOz Solutions Pty Ltd";"Australia";"Processing / Biorefinery
Applications";"https://www.linkedin.com/in/jens-sommer-knudsen-542971a/?originalSubdomain=au";"";"Aquaculture";"Pharmaceuticals
Nutraceuticals
Bioplastics";"";"";"";2021;"0 - not started yet";NA;"";"$0";"Research / product development";"";"";"Male CEO
Male founded";"algoz-solutions-pty-ltd";"true";""
76;"Algroupe";"France";"Applications";"https://www.linkedin.com/company/algroupe/";"";"";"Food";"";"";"";2019;"";NA;"";"$0";"";"";"";"";"algroupe";"true";""
77;"Algue Service";"France";"Farming & harvesting";"https://www.bord-a-bord.fr/?lang=fr";"Himanthalia elongata
Palmaria palmata
Porphyra sp.
Saccharina latissima";"Harvesting";"";"";"";"";NA;"100 - 1000 tonnes";NA;"";"$0";"";"";"";"";"algue-service";"true";""
78;"Algues Armorique";"France";"Farming & harvesting";"https://www.algues-armorique.com/";"Alaria sp.
Chondrus crispus
Fucus sp.
Himanthalia elongata
Lithothamnium calcareum";"Harvesting";"";"";"";"";NA;"10 - 100 tonnes";NA;"";"$0";"";"";"";"";"algues-armorique";"true";""
79;"Algues et Mer";"France";"Farming & harvesting
Applications";"http://www.algues-et-mer.com/";"Asparagopsis armata
Undaria Pinnatifida";"Aquaculture
Harvesting";"Personal care";"";"";"";NA;"10 - 100 tonnes";NA;"";"$0";"";"";"";"";"algues-et-mer";"true";""
80;"Alimex";"Chile";"Farming & harvesting";"https://www.alimex.cl/alimex-in/alimex-seaweed-in";"Gigartina radula
Lessonia nigrescens
Lessonia trabeculata
Durvillaea antartica";"Harvesting";"";"";"";"";NA;"1000 - 10 000 tonnes";NA;"";"$0";"";"";"";"";"alimex";"true";""
81;"Aloba Foods";"Sweden";"Applications";"https://www.alobafoods.com/";"";"";"Food";"";"";"";2019;"";NA;"";"$0";"";"";"";"";"aloba-foods";"true";""
82;"Alquimar";"Mexico";"Applications";"https://alquimar.com.mx/";"Sargassum sp.";"";"Plant & soil nutrition
Pharmaceuticals
Hydrocolloids";"Alginate
Fucoidans";"";"";NA;"";NA;"";"$0";"";"";"";"";"alquimar";"true";""
83;"Amarea";"Chile";"Applications";"https://www.amarea.cl/";"";"";"Food";"Snacks and seasoning";"";"";NA;"";NA;"";"$0";"";"";"";"";"amarea";"true";""
84;"Amarta Carrageenan Indonesia";"Indonesia";"Applications";"https://www.amartacarrageenan.com/";"";"";"Hydrocolloids";"Carrageenan";"";"";NA;"";NA;"";"$0";"";"";"";"";"amarta-carrageenan-indonesia";"true";""
85;"Andi-Johnson Group (Fujian Ansen Marine Biotech)";"China";"Applications";"http://www.andi-johnsongroup.com/";"";"";"Hydrocolloids";"Agar
Carrageenan";"";"";NA;"";NA;"";"$0";"";"";"";"";"andi-johnson-group-fujian-ansen-marine-biotech";"true";""
86;"Aomori Seaweed Association";"Japan";"Multi-stakeholder platform";"https://aomorikaisou.site/";"";"";"";"";"";"Producers association";NA;"";NA;"";"$0";"";"";"";"";"aomori-seaweed-association";"true";""
87;"Aqitec";"Netherlands";"Infrastructure & equipment";"https://www.aqitec.com/";"";"";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"aqitec";"true";""
88;"Aqua Botanika";"UK";"Farming & harvesting";"https://www.linkedin.com/in/daniel-pt%C3%A1%C4%8Dek-12064a/";"";"Aquaculture";"";"";"";"";NA;"0 - not started yet";NA;"";"$0";"";"";"";"";"aqua-botanika";"true";""
89;"Aqua Curo (Quayside Holdings)";"New Zealand";"Farming & harvesting";"https://aquacuro.co.nz/";"";"Aquaculture
Land-based";"Wastewater treatment";"";"";"";2021;"";NA;"";"$0";"Pilot / Demonstration";"";"";"";"aqua-curo-quayside-holdings";"true";""
90;"Aquagri";"India";"Applications
Farming & harvesting";"http://aquagri.in/";"";"Aquaculture";"Hydrocolloids
Feed
Plant & soil nutrition";"Carrageenan
Alginate";"";"";2008;"100 - 1000 tonnes";NA;"";"$0";"";"";"";"";"aquagri";"true";""
91;"Aquamoor";"UK";"Infrastructure & equipment";"https://www.aquamoor.co.uk/";"";"";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"aquamoor";"true";""
92;"Aquarev Industries";"India";"Applications";"http://www.aquarev.in/";"";"";"Hydrocolloids";"Carrageenan";"";"";NA;"";NA;"";"$0";"";"";"";"";"aquarev-industries";"true";""
93;"Aquatropia";"Singapore";"Farming & harvesting
Applications";"https://www.linkedin.com/in/timothy-hromatka/";"";"Aquaculture
IMTA";"Feed";"Livestock methane reduction";"";"";NA;"";NA;"";"$0";"";"";"";"";"aquatropia";"true";""
94;"Aquazor";"Portugal";"Farming & harvesting";"https://www.europarl.europa.eu/cmsdata/197672/Presentation%20by%20Mr.%20Lopes,%20Aquazor.pdf";"";"Aquaculture
Offshore";"";"";"";"";2016;"10 - 100 tonnes";NA;"";"$0";"Pilot / Demonstration";"";"";"";"aquazor";"true";""
95;"Araki Seaweed Shop";"Japan";"Applications";"http://www.arakinoriten.com/";"";"";"Food";"Dried/raw seaweed";"";"";NA;"";NA;"";"$0";"";"";"";"";"araki-seaweed-shop";"true";""
96;"Aran Islands Seaweed";"Ireland";"Farming & harvesting
Applications";"https://www.blathnamara.ie/";"";"Harvesting";"Food";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"aran-islands-seaweed";"true";""
97;"ARCA SpA";"Chile";"Farming & harvesting";"https://www.linkedin.com/in/robinson-araya-pizarro-b6a69155/";"";"";"";"";"";"";2013;"";NA;"";"$0";"";"";"";"";"arca-spa";"true";""
98;"Arctic Seaweed";"Norway";"Farming & harvesting";"https://aseaweed.com/";"Alaria esculenta
Saccharina latissima";"Aquaculture";"";"";"Orkla
Morten Kroslid";"";2017;"100 - 1000 tonnes";NA;"Unnamed record";"$0";"Validation / Traction";"$3,025,719";"";"Male CEO
Male founded";"arctic-seaweed";"true";""
99;"Ariba Seaweed";"Tanzania";"Farming & harvesting";"";"E. spinosum";"Aquaculture";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"ariba-seaweed";"true";""
100;"Aristotle's Lantern";"USA";"Conservation & restoration";"";"";"";"";"Urchin removal";"Sea Ahead";"";2021;"";NA;"";"$0";"Research / product development";"";"";"Mixed founding team";"aristotles-lantern";"true";""
101;"Arm of the Ocean / Solkelp";"Portugal";"Farming & harvesting";"https://www.theportugalnews.com/news/2022-01-30/pilot-project-for-production-of-macroalgae-in-the-open-sea/64900";"";"Aquaculture";"";"";"";"";2021;"";NA;"";"$0";"";"";"";"";"arm-of-the-ocean-/-solkelp";"true";""
102;"Aromes Algues";"Madagascar";"Farming & harvesting";"";"Kappaphycus alvarezii";"Aquaculture";"";"";"";"";NA;"1000 - 10 000 tonnes";NA;"";"$0";"";"";"";"";"aromes-algues";"true";""
103;"Arramara Teo";"Ireland";"Farming & harvesting
Applications";"https://www.arramara.ie/";"Ascophyllum nodosum";"Harvesting";"Feed
Plant & soil nutrition";"Livestock feed";"";"";NA;"10 000 - 100 000 tonnes";NA;"";"$0";"";"";"";"";"arramara-teo";"true";""
104;"Asiagel";"Philippines";"Applications";"http://www.asiagel.com/";"";"";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"asiagel";"true";""
105;"Asosiasi Rumput Laut Indonesia";"Indonesia";"Multi-stakeholder platform";"https://www.arli.or.id/";"";"";"";"";"";"Producers association";NA;"";NA;"";"$0";"";"";"";"";"asosiasi-rumput-laut-indonesia";"true";""
106;"ASPERLI (Seaweed Farmers Association/Asosiasi Petani Rumput Laut)";"Indonesia";"Multi-stakeholder platform";"";"";"";"";"";"";"Producers association";NA;"";NA;"";"$0";"";"";"";"";"asperli-seaweed-farmers-association/asosiasi-petani-rumput-laut";"true";""
107;"Atenbo Co.";"Japan";"Applications";"http://www.atembo.jp/";"";"";"Food";"Dried/raw seaweed";"";"";NA;"";NA;"";"$0";"";"";"";"";"atenbo-co";"true";""
108;"Athena";"South Korea";"Applications";"http://www.athenasc.co.kr/";"";"";"Personal care";"";"";"";2005;"";NA;"";"$0";"Scale-up / Industrialisation";"";"";"Female CEO
Female founded";"athena";"true";""
109;"Atlantic Gold Seaweed";"Ireland";"Farming & harvesting
Applications";"https://www.atlanticgold.eu/";"Ascophyllum nodosum";"Harvesting";"Plant & soil nutrition";"";"";"";NA;"10 000 - 100 000 tonnes";NA;"";"$0";"";"";"";"";"atlantic-gold-seaweed";"true";""
110;"Atlantic Irish Seaweed";"Ireland";"Farming & harvesting";"https://www.atlanticirishseaweed.com/";"Fucus serratus";"Harvesting";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"atlantic-irish-seaweed";"true";""
111;"Atlantic Sea Farms (Ocean Approved)";"USA";"Farming & harvesting
Applications";"https://atlanticseafarms.com/";"";"Aquaculture";"Food";"";"Desert Bloom Food Ventures
Builders Vision";"";2009;"100 - 1000 tonnes";NA;"$3,100,000
$695,000
$590,000";"$4,385,000";"Scale-up / Industrialisation";"";"";"Male founded
Female CEO";"atlantic-sea-farms-ocean-approved";"true";""
112;"AtSeaNova NV";"Belgium";"Infrastructure & equipment";"https://atseanova.com/";"";"Wind/solar park multi-use";"";"";"";"";2016;"";NA;"";"$0";"Scale-up / Industrialisation";"$3,054,414
$7,016,009
$1,999,318";"";"Male CEO";"atseanova-nv";"true";""
113;"Aurelis";"Denmark";"Farming & harvesting
Applications";"http://aurelis.dk/";"Kappaphycus alvarezii
Saccharina latissima
Palmaria palmata";"Aquaculture
At-sea";"Food";"";"";"";2018;"1000 - 10 000 tonnes";NA;"";"$0";"Validation / Traction";"";"";"";"aurelis";"true";""
