"","ID","Amout","Description","Grantmakers","Tags","Grantees (research)","Grantees (organisations)","Grantees (other)","Start year","Funder type","Recipients type","Source","Source_2"
"13",11,"$3,025,719","SusKelpFood, a continuation from the SensAlgae project, the partners will test and develop methods for sustainable production of ingredients from cultivated kelp to the Nordic and European food industry.","Norwegian Research Council","New foods","MØREFORSKING
Norwegian Institute of Marine Research (IMR)","Orkla
Tango Seaweed AS","","2021","Government","Private-public consortium","https://www.moreforsk.no/om-oss/nyheter/marin/ny-fou-satsing-for-mer-tare-ingredienser-i-matproduksjon-/680/3529/",""
"12",12,"$2,900,000","to look at organic seaweed and whether you can incorporate that into the diet of an organic dairy herd to create a commercially feasible ingredient","US Dept of Agriculture","Feed","University of Vermont","","","2021","Government","Univ / Research institute","https://www.feedstrategy.com/animal-feed-additives/usda-awards-2-9-million-to-seaweed-cattle-feed-study/",""
"11",13,"$2,495,608","to furter develop our antimicrobial alginate oligomer technology with the goal to enhance fighting multi drug resistance","Norwegian Research Council","Pharmaceuticals","","Algipharma","","2021","Government","Private sector","https://algipharma.com/algipharma-secures-22-mnok-in-non-dilutive-funding-for-development-of-its-antimicrobial-alginate-oligosaccharide-technology-with-the-goal-to-enhance-fighting-multidrug-resistance/",""
"10",14,"$2,362,306","To scale up our biorefinery processing capabilities","European Maritime and Fisheries Fund","Processing / Biorefinery","","Oceanium","","2021","Government","Private sector","https://www.linkedin.com/posts/karen-scofield-seal-86bb4116_the-oceanium-team-is-very-excited-to-share-activity-6842197641527353344-zhMc/",""
"9",15,"$2,000,000","to  help humanity shift to resilient food systems and achieve food security within this decade","Food Planet Prize","Cultivation techniques","","GreenWave","","2021","Philanthropic","Private sector","https://foodplanetprize.org/the-prize-prizewinners-and-finalists/",""
"8",16,"$1,860,073","Algipack: alginate-based films for packaging","Norwegian Research Council","Bioplastics","Sintef","B'zeos
Seaweed Solutions","","2021","Government","Private-public consortium","https://www.linkedin.com/feed/update/urn:li:activity:6877524869009960960/",""
"7",17,"$1,426,855","Kelp farms are known to have ecosystem benefits, but their role in bolstering fisheries is relatively understudied. With declines in both salmon and kelp forests along BC's coast, kelp farming has the potential to help regenerate both. If we demonstrate that kelp farms provide shelter for migrating salmon, this could inform the placement of new kelp farm tenures to maximize these benefits, not only here, but globally","British Columbia Salmon Restoration and Innovation Fund","Environmental impact study","Bamfield Marine Sciences Centre","Cascadia Seaweed","Ocean Networks Canada, AML Oceanographic, Deep Trekker","2021","Government","Private-public consortium","https://www.cascadiaseaweed.com/cascadia-seaweed-is-awarded-1-8m-in-grant-funding-from-the-bc-salmon-restoration-and-innovation-fund",""
"6",18,"$1,253,448","The Safe Seaweed Coalition is an innovative global partnership aimed at developing a safe and sustainable food source that contributes to reducing the impact of hunger and foodborne disease. The coalition will improve safety knowledge and expertise, develop new funding initiatives and influence policymakers, regulators and consumers.","Lloyd's Register Foundation","Food safety","","Safe Seaweed Coalition","","2021","Philanthropic","Univ / Research institute","https://grantnav.threesixtygiving.org/grant/360G-LloydsRegisterFdn-GA%5C100406",""
"5",19,"$1,212,508","This project will study how seaweeds sense and respond to stress at the molecular level. The collaborative team will use the seaweed Asparagopsis taxiformis as a model system to study how the transcription of genes and biochemical activities of enzymes in seaweeds respond to stress by the synthesis of the ozone-damaging pollutant bromoform. Tools for the genetic manipulation of seaweed have not yet been developed and this research will provide insight into pathways of gene regulation in this glo","National Science Foundation (NSF)","Genetics / Biochemistry","University of Utah
Scripps Institution of Oceanography @ University of California San Diego","","","2021","Government","Univ / Research institute","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2129491","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2129490"
"4",20,"$1,200,924","COASTFRAG is a research project that started in 2021 and will last until the end of 2024. The project will work to improve our knowledge of what is needed to protect Blue Forests and the services we receive from them. To do so, we will study how pressures, such as habitat fragmentation, temperature, water quality, wave exposure and predation, impact seaweed communities across Europe.","Norwegian Research Council","Ecology / Plant biology","NIVA - Norsk Institutt for Vannforskning","","","2021","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/314314",""
"3",21,"$1,103,333","establishing a local seaweed industry cluster, undertaking large-scale cultivation pilot trials, looking at ways of boosting commercial seaweed production, and establishing a land-based hatchery.","South Australia Government","Capacity building / outreach","South Australian Research and Development Institute","","","2021","Government","Univ / Research institute","https://www.premier.sa.gov.au/news/media-releases/news/seaweed-the-next-big-marine-industry-for-south-australia",""
"2",22,"$1,000,000","To protect and strengthen underwater kelp forests and the climate services they provide.","Chile Govt","Conservation and restoration","","Ocean Wise","The Kawésqar Indigenous Community Residing at Puerto Edén","2021","Government","Non-profit","https://www.aquablog.ca/2021/07/important-climate-win-as-massive-underwater-kelp-forest-guarded-by-kawesqar-indigenous-peoples-in-chile/",""
"1",23,"$1,000,000","Investment in urchin ranching company that is removing urchins from urchin barrens and cultivation for sushi markets while enabling kelp forest restoration in ocean habitats","Builders Initiative","Conservation and restoration","","Urchinomics","","2021","Philanthropic","Private sector","",""
"110",24,"$958,511","ViralICE project therefore aims to find out whether and how kelp viruses affect the natural kelp forest in Norway (structure and functioning) and kelp aquaculture (management of marine coastal resources) under the current climate change situation.","Norwegian Research Council","Ecology / Plant biology","","","Høgskulen På Vestlandet","2021","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/314108",""
"24",25,"$938,934","for the development and scale-up of Ulva production on the Swedish west coast outside Fjällbacka","European Maritime and Fisheries Fund","Commercial expansion","","Nordic Seafarm (prev. Kosteralg)","","2021","Government","Private sector","https://www.linkedin.com/posts/simon-johansson-a925903b_eu-projekt-ulva-odling-nordic-seafarm-activity-6879155638925090816-R7ky/","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101038333/program/31098847/details"
"31",26,"$900,000","the research will focus on the role kelp can play as a sponge that soaks up carbon dioxide.","World Wildlife Fund (WWF)","CDR","Bigelow Laboratory for Ocean Sciences","","","2021","Non-profit","Univ / Research institute","https://maps.foundationcenter.org/#/list/?subjects=all&popgroups=all&years=all&location=6295630&excludeLocation=0&geoScale=ADM0&layer=geo_area&boundingBox=-139.219,-31.354,135,66.513&gmOrgs=all&recipOrgs=all&tags=all&keywords=kelp&pathwaysOrg=&pathwaysType=&acct=oceans&typesOfSupport=all&transactionTypes=all&amtRanges=all&minGrantAmt=0&maxGrantAmt=0&gmTypes=all&minAssetsAmt=0&maxAssetsAmt=0&minGivingAmt=0&maxGivingAmt=0&andOr=0&includeGov=1&custom=all&customArea=all&indicator=&dataSource=oecd&chartType=facets&multiSubject=1&listType=grant&windRoseAnd=undefined&zoom=2",""
"41",27,"$819,095","to increase its processing facility and explore new markets.","Scottish Marine Fund","Commercial expansion","","Mara Seaweed","","2021","Government","Private sector","https://www.gov.scot/news/new-funding-to-boost-innovative-seaweed-business/",""
"51",28,"$794,072","Autonomous underwater monitoring of kelp-farm biomass, growth, health and biofouling using optical sensors.","Norwegian Research Council","Aquaculture infrastructure & tech","Norges Teknisk-naturvitenskapelige Universitet NTNU","","","2021","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/315514",""
"61",29,"$792,712","The funds provided through the Coalition in this first round of funding will contribute to the improvement of safety in the global seaweed sector as the industry scales up and seaweed’s full potential is unlocked","Safe Seaweed Coalition","Food safety
Legal/Policy
Genetics / Biochemistry","Alfred Wegener Institute
The Marine Environment and Resources Foundation @ University of the Philippines Diliman","B'zeos
Sea Power
Submariner Network","Yunus Foundation","2021","Philanthropic","Univ / Research institute
Non-profit","https://www.safeseaweedcoalition.org/the-safe-seaweed-coalition-awards-e700000-in-first-call-for-proposals/",""
"71",30,"$779,000","to drive the commercialization of technology that can reduce methane emissions from cattle.","Business Australia","Livestock methane reduction","","Sea Forest Australia","","2021","Government","Private sector","https://agfundernews.com/sea-forest-cattle-seaweed-supplement-pregnancy-test-get-government-funding-in-australia.html",""
"81",31,"$684,679","Estuary bioremediation: Pilot trial of land-based seaweed and aquaculture for bioremediation of diffuse source nutrients","Sustainable Food and Fibre Futures fund
Agmardt","Bioremediation","","Agrisea","","2021","Government
Non-profit","Private sector","https://www.mpi.govt.nz/funding-rural-support/sustainable-food-fibre-futures/current-sff-futures-projects/sff-futures-projects-seafood-and-aquatic/",""
"91",32,"$683,880","Quantifying Blue Carbon: kelp contribution to carbon sequestration in marine sediments","Endeavour Fund","CDR","","Blue Carbon Services","","2021","Government","Univ / Research institute","https://www.mbie.govt.nz/science-and-technology/science-and-innovation/funding-information-and-opportunities/investment-funds/endeavour-fund/success-stories/",""
"101",33,"$660,494","Optimal processing of macroalgae as a new sustainable food ingredient","Norwegian Research Council","Processing / Biorefinery","Sintef","Seaweed Solutions
Orkla","","2021","Government","Private-public consortium","https://prosjektbanken.forskningsradet.no/en/project/FORISS/317864",""
"111",34,"$600,000","to scale up its seaweed-based packaging technology for pilot production among retailers","Postcode Lotteries Green Challenge","Bioplastics","","SoluBlue","","2021","Non-profit","Private sector","https://www.uktech.news/news/british-startup-solublue-gets-430-4k-for-its-seaweed-based-alternative-to-plastic-20210225",""
"121",35,"$557,557","This collaborative project focuses on the understudied, yet critically important microbial communities associated with seaweed farms throughout the west coast of North America, the microbiome. The project goal is to elucidate which species are present and what their functions in kelp farming are.","National Science Foundation (NSF)","Ecology / Plant biology","San Diego State University","","","2021","Government","Private-public consortium","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2137903&HistoricalAwards=false",""
"131",36,"$540,928","to develop training and business development for the sector","UK Community Renewal Fund","Capacity building / outreach","Scottish Association for Marine Science (SAMS)","","","2021","Government","Univ / Research institute","https://www.sams.ac.uk/news/sams-news-seaweed-academy-announcement.html",""
"141",37,"$504,309","to help it establish a processing and manufacturing facility for its seaweed product that could help Australia’s farmers to significantly reduce their carbon footprint.","Business Australia","Livestock methane reduction","","Sea Forest Australia","","2021","Government","Private sector","https://www.minister.industry.gov.au/ministers/taylor/media-releases/grants-help-manufacturers-commercialise-great-ideas",""
"151",38,"$500,000","Investment in seaweed processing facility to enable markets in bioplastics, packaging and foods","Builders Initiative","Processing / Biorefinery","","Oceanium","","2021","Philanthropic","Private sector","",""
"161",39,"$394,719","Development of a Simultaneous Saccharification and Fermentation Technology for Valorisation of Ulva spp. from Macroalgal Blooms","Horizon2020","Processing / Biorefinery","","","Aberstywyth University","2021","Government","Univ / Research institute","https://cordis.europa.eu/project/id/101033286",""
"171",40,"$358,435","The project will quantitatively evaluate the impact of culturing corals and seaweed together in an effort to reduce ocean acidification and mitigate coral bleaching.","National Science Foundation (NSF)","Bioremediation","Scripps Institution of Oceanography @ University of California San Diego","","","2021","Government","Univ / Research institute","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2029205",""
"181",41,"$303,389","The Algwas-Bior Project proposes an integrated Biorefinery technology, focusing on the valorization of the waste stream released from the algae industry following agar extraction Gelidium sesquipedale","Horizon2020","Processing / Biorefinery","","","Universidad de Burgos","2021","Government","Univ / Research institute","https://cordis.europa.eu/project/id/898804",""
"191",42,"$280,842","The overarching goal of the Sea Grant proposal is to enhance the investment, collaboration, an education supporting aquaculture investment and development in Oregon, the West Coast, and the United States.","Oregon Sea Grant","Capacity building / outreach","Oregon State University","","","2021","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"201",43,"$280,840","1. Develop business planning and management tools for the three types of kelp aquaculture systems described above. 2. Increase access to capital among existing and prospective seaweed farmers via an emphasis on improved industry knowledge for investors/financers/potential market entrants. 3. Conduct a comprehensive economic assessment of the ecosystem services (e.g., nutrient bioremediation and carbon offsetting) provided by seaweed aquaculture, including strategies for the monetization of these","Connecticut Sea Grant","Capacity building / outreach
Socio-economic impact study","George Mason University
Keene State College","","","2021","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"211",44,"$250,000","to repurpose retired oil and gas infrastructure to seaweed cultivation sites as an alternative to complete removal, under circumstances when it is environmentally positive.","Xprize","Aquaculture infrastructure & tech","","Blue Symbiosis","","2021","Philanthropic","Private sector","https://www.xprize.org/prizes/elonmusk/articles/5m-out-the-door-95m-to-go",""
"221",45,"$250,000","Testing Marine-based Strategies for Reducing Impact of Nutrient Pollution in Casco Bay, Maine","Restore America's Estuaries","Bioremediation","University of Southern Maine","Running Tide","","2021","Government","Private-public consortium","https://estuaries.org/initiatives/watershedgrants/2021-nep-coastal-watersheds-grant/","https://thefishsite.com/articles/quantifying-how-kelp-and-shellfish-farming-can-help-casco-bay"
"231",46,"$232,234","To establish a logistics center for the processing of sea vegetables","Netherlands Govt","Commercial expansion","","Dutch Seaweed Group
North Sea Farmers","","2021","Government","Private-public consortium","https://www.zeeland.nl/actueel/overhandiging-cheque-zeeland-stroomversnelling-subsidies-zesde-ronde",""
"112",47,"$200,000","To restore degraded kelp forest using green gravel technology","Schmidt Marine Technology Partners","Conservation and restoration","","Green Gravel Action Group","","2021","Philanthropic","Non-profit","https://wernberglab.org/media/",""
"25",48,"$169,308","to explore the benefits of using natural kelp hides on fish farms, supporting the wellbeing of cleaner fish and helping them to thrive in their work","Seafood Innovation Fund","IMTA","University of Stirling
Sustainable Aquaculture Innovation Centre","Kelpring","","2021","Government","Private-public consortium","https://fishfocus.co.uk/fish-given-a-kelping-hand-through-new-research-funding/",""
"32",49,"$139,898","in recent years extensive seaweed blooms deposit massive amounts of algae on sandy beaches worldwide. This project investigates the fate of the deposited algae and their influence on the biogeochemical environment of the beach.","National Science Foundation (NSF)","Sargassum / other algal blooms
Ecology / Plant biology","Florida State University","","","2021","Government","Univ / Research institute","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2049177",""
"42",50,"$102,000","Capacity building on a seaweed farm.","Ireland Govt
European Maritime and Fisheries Fund","Capacity building / outreach","","Redrose Developments Ltd","","2021","Government
Government","Private sector","https://www.gov.ie/en/press-release/05730-mcconalogue-announces-1-million-capital-grants-to-13-aquaculture-enterprises/",""
"52",51,"$64,660","Development of Phyconomy Seaweed Database","Climateworks Foundation","Capacity building / outreach","","","Phyconomy","2021","Non-profit","Private sector","",""
"62",52,"$40,000","Support visualization of the bioeconomic model developed by UC Irvine","Climateworks Foundation","Capacity building / outreach","","","CarbonPlan","2021","Non-profit","Non-profit","",""
"72",53,"$37,000","employment and community development opportunities associated with marine macroalgae cultivation","Climateworks Foundation","Socio-economic impact study","Sustainable Seaweed Solutions @ UC Irvine Department of Earth System Science","","","2021","Non-profit","Univ / Research institute","",""
"82",54,"$21,000","To support labor research around seaweed cultivation","Climateworks Foundation","Socio-economic impact study","","","Algal Aquaculture Professionals","2021","Non-profit","Private sector","",""
"92",55,"$10,000","Building a sustainable seaweed sector in Zanzibar","Schmidt Marine Technology Partners","Capacity building / outreach","","Zanzibar Seaweed Cluster Initiative","","2021","Philanthropic","Non-profit","",""
"102",56,"","One of the most difficult and pressing tasks is to assess and quantify the ability of kelp (cultivated and wild) to sequester CO2 in the deep ocean. The Kelp Forest Foundation is grateful to the Gordon and Betty Moore Foundation for their generous contribution towards the creation of a Kelp Carbon Dioxide Removal Modelling System to be designed by Dr John Taylor and his team at University of Cambridge. It is an important milestone step and will help guide our other research projects such as","Gordon and Betty Moore Foundation","CDR","Centre of Climate Repair University of Cambridge","Kelp Forest Foundation","","2021","","Non-profit","https://www.linkedin.com/posts/kelp-forest-foundation_moore-foundation-grant-to-the-kelp-forest-activity-6894618670983983104-tVfG/",""
"113",57,"$33,000,000","To develop new markets for seaweed as an alternative to fossil fuel-based products","Bezos Earth Fund","CDR
Capacity building / outreach","","World Wildlife Fund (WWF)","","2020","Philanthropic","Non-profit","https://www.worldwildlife.org/press-releases/wwf-receives-100-million-for-nature-based-climate-solutions-from-the-bezos-earth-fund",""
"122",58,"$11,492,502","UNITED - Multi-Use offshore platforms demoNstrators for boostIng cost-effecTive and Eco-friendly proDuction in sustainable marine activities","Horizon2020","Aquaculture infrastructure & tech
Socio-economic impact study","WUR - Wageningen University & Research
BlueGent","Submariner Network
Colruyt","","2020","Government","Private-public consortium","https://cordis.europa.eu/project/id/862915",""
"132",59,"$9,283,874","ASTRAL - develop IMTA production chains for the Atlantic markets","Horizon2020","IMTA","Norwegian Research Centre
Scottish Association for Marine Science (SAMS)","","","2020","Government","Private-public consortium","https://cordis.europa.eu/project/id/863034",""
"142",60,"$6,010,156","ALEHOOP - Biorefineries for the valorisation of macroalgal residual biomass","Horizon2020","Processing / Biorefinery","","Alginor","","2020","Government","Private-public consortium","https://cordis.europa.eu/project/id/887259",""
"152",61,"$4,056,251","Design of Large Scale Macroalgae System (MacroSystem)","ARPA-E MARINER","Aquaculture infrastructure & tech","","Ocean Rainforest","","2020","Government","Private sector","https://arpa-e.energy.gov/technologies/projects/design-large-scale-macroalgae-system-macrosystem",""
"162",62,"$2,917,811","DACOTA - Alginor has developed Hypomar, an innovative green harvesting solution that greatly improves harvesting yield, as well as the processing technology AORTA, that avoids the use of harmful chemicals thus reducing environmental impact.","Horizon2020","Aquaculture infrastructure & tech
Processing / Biorefinery","","Alginor","","2020","Government","Private sector","https://cordis.europa.eu/project/id/101011290",""
"172",63,"$1,796,743","In this project, an industrial scale process for the fractionation and purification of fucoidan from Laminaria hyperborea will be developed, leading to novel pharmaceutical and medical products and applications.","Norwegian Research Council","Pharmaceuticals","Royal Institute of Technology (KTH)","Alginor","University of Oslo, University of Bergen","2020","Government","Private-public consortium","sjektbanken.forskningsradet.no/en/project/FORISS/310167",""
"182",64,"$1,760,523","Algi-SCALEUP: Fermentation Scaleup for Manufacturing of Pharmaceutical Alginate Oligosaccharides","Norwegian Research Council","Pharmaceuticals","","Algipharma","","2020","Government","Private sector","https://prosjektbanken.forskningsradet.no/en/project/FORISS/317799",""
"192",65,"$1,688,093","Plastisea: to develop novel bioplastic materials based on cultivated and wild species of brown algae","Blue Bio Cofund","Bioplastics","Sintef
Aitiip Centro Tecnologico","Seaweed Solutions
B'zeos","Kungliga Tekniska Högskolan, Aalborg Univeersity","2020","Government","Private-public consortium","https://www.sintef.no/en/projects/2020/plastisea-novel-enhanced-bioplastics-from-sustainable-processing-of-seaweed/",""
"202",66,"$1,500,000","Research, communications and other work to promote seaweed and shellfish aquaculture","Builders Initiative","Capacity building / outreach","","World Wildlife Fund (WWF)","","2020","Philanthropic","Non-profit","",""
"212",67,"$1,500,000","t: accelerate the protection and restoration of kelp forests, ensure sustainable harvest of marine resources, protect priority habitats and ecosystem health, reduce bycatch and entanglement of marine wildlife, ensure that coastal communities prioritize natural infrastructure, build sustainable tuna fisheries, reduce bycatch of vulnerable species, decrease IUU fishing, and improve socio-economic returns for Pacific Island communities.","Marisla Foundation","Conservation and restoration","","The Nature Conservancy","","2020","Philanthropic","Non-profit","",""
"222",68,"$1,291,770","SeaSus Protein will turn environmental problems of macroalgae blooms – the so-called ‘green tides’ – into the protein source of the future. With focus on the green sea lettuce (Ulva sp), the project will optimise the extraction of high quality protein for functional foods. The project spans from developing gentle large-scale harvest of Ulva and documenting the environmental effects, to optimising protein extraction and evaluating the protein quality in plant-based mince","Miljøministeriet Denmark","New foods
Sargassum / other algal blooms","Aarhus University
AlgeCenter","Nordisk Tang - Nordic Seaweed Aps","","2020","Government","Private-public consortium","https://mst.dk/erhverv/groen-virksomhed/groent-udviklings-og-demonstrationsprogram-gudp/gudp-projekter/2019-projekter/2-seasus-bioraffinering-af-tang/",""
"232",69,"$1,211,690","Kelp Conservation Initiative -- In terms of the purpose, this was supporting the TNC CA team looking at kelp habitat protection and restoration in California. The various workstreams including mapping kelp habitat, exploring urchin removal and urchin ranching, exploring pychnopodia interventions, developing an international collaboration on kelp loss, etc. Mariko is the PO for Oceankind if you want to learn more.","National Philanthropic Trust","Conservation and restoration","","The Nature Conservancy","","2020","Philanthropic","Non-profit","",""
"114",70,"$1,175,863","AlgaeDemo – Demonstration of large scale seaweed cultivation at open sea and the positive effects thereof on the ocean","European Maritime and Fisheries Fund","Aquaculture infrastructure & tech","","TNO Seaweed processing facility","Sioen","2020","Government","Private sector","https://craeghs.nl/projecten/sioen-industries-zeewier-akker/",""
"26",71,"$1,074,963","Safe Seaweed by Design develops protocols to support the seaweed sector in monitoring and assessing safety.","Lloyd's Register Foundation","Cultivation techniques","WUR - Wageningen University & Research","","","2020","Philanthropic","Univ / Research institute","https://grantnav.threesixtygiving.org/grant/360G-LloydsRegisterFdn-GA%5C100395",""
"33",72,"$1,000,000","A joint research initiative striving to reduce methane emissions from livestock with seaweed-based feed additives.","Curt Bergfors Foundation","Livestock methane reduction","","FutureFeed","","2020","Philanthropic","Private sector","https://foodplanetprize.org/news/announcing-the-2020-food-planet-prize/",""
"43",73,"$1,000,000","Growing Maine’s Sustainable Shellfish and Seaweed Aquaculture Industry","Builders Initiative","Capacity building / outreach","","","Coastal Enterprises Inc","2020","Philanthropic","Non-profit","",""
"53",74,"$1,000,000","for a solution that is a simple plug and play into existing feeding systems to reduce emissions and help farmers and producers create more food and build new and more sustainable businesses and enterprises.","Food Planet Prize","Livestock methane reduction","","FutureFeed","","2020","Philanthropic","Private sector","https://www.csiro.au/en/news/news-releases/2020/million-dollar-food-planet-prize-awarded-to-csiro-innovation",""
"63",75,"$908,000","Accelerating UK seaweed industry to generate sustainable opportunities for the coastal economy","Innovate UK
Sky Ocean Ventures","Processing / Biorefinery
Bioplastics","","Oceanium
KelpCrofting","Efficiency Technologies","2020","Government
Philanthropic","Private sector","https://gtr.ukri.org/search/project?term=oceanium&fetchSize=25&selectedSortableField=pro.am&selectedSortOrder=DESC&fields=pub.a%2Cper.on%2Cpub.t%2Corg.n%2Cper.fn%2Cper.pro.abs%2Cpro.t%2Cper.org.n%2Cper.fnsn%2Cper.sn%2Cper.pro.t%2Cpro.a&type=",""
"73",76,"$900,000","To build and deploy efficient and cost-effective alternatives to disappearing natural predators that suppress prey populations to sustainable levels. We are currently developing an artificially intelligent and tunable autonomous underwater predator to augment disappearing natural predators, along with a near real-time data portal that can actively intervene as desired.","Schmidt Marine Technology Partners","Conservation and restoration","","Marauder Robotics (Balanced Oceans)","","2020","Philanthropic","Private sector","https://www.schmidtmarine.org/solving-a-thorny-problem/",""
"83",77,"$880,117","SeaCow: Promoting efficient, low emitting cows through nutritional manipulation of the rumen microbiome","Norwegian Research Council","Livestock methane reduction","Norges Miljø- Og Biovitenskapelige Universitet (NMBU)","","","2020","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/302639",""
"93",78,"$802,552","ERA-NET: Novel enhanced bioplastics from sustainable processing of seaweed (PlastiSea)","Norwegian Research Council","Bioplastics","Sintef","","","2020","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/311697",""
"103",79,"$765,334","Working in close partnership with the Department of Virology at Manchester University and based upon 4 years of research, we intend to explore and harness the highly efficacious properties of seaweed as a new, 100% natural, sustainable antiviral active ingredient for cleaning products (medium term) and medicines (long term).","Innovate UK","Biochemicals","Manchester University
The James Hutton Institute","Byotrol Technology Ltd","","2020","Government","Private-public consortium","https://gtr.ukri.org/organisation/ECFA5A3F-1F79-4412-9A40-F78A25407DEB","https://byotrolplc.com/innovative-research-to-investigate-antiviral-properties-of-seaweeds/"
"115",80,"$748,011","ERA-NET: Seaweeds for Novel Applications and Products (SNAP)","Norwegian Research Council","Applications research","Sintef
Norges Teknisk-naturvitenskapelige Universitet NTNU","Seaweed Solutions
DuPont","TLU (EE), MARUM (DE)","2020","Government","Private-public consortium","https://prosjektbanken.forskningsradet.no/en/project/FORISS/311958",""
