"","rowname","resHeaders","Headquarters","Value.chain","Website","Species","Production.process","Industry..Applications.","Industry.subsector.tags","Investors","Association.focus","Founding year","Annual production (wet weight)","Start-up/scale-up?","Investments","Total disclosed investments since 2020","Development stage","Grants associated","Researchers associated","Team","SEO:Slug","SEO:Index"
"82",82,"Alquimar","Mexico","Applications","https://alquimar.com.mx/","Sargassum sp.","","Plant & soil nutrition
Pharmaceuticals
Hydrocolloids","Alginate
Fucoidans","","","","","","","$0","","","","","alquimar","true"
"83",83,"Amarea","Chile","Applications","https://www.amarea.cl/","","","Food","Snacks and seasoning","","","","","","","$0","","","","","amarea","true"
"84",84,"Amarta Carrageenan Indonesia","Indonesia","Applications","https://www.amartacarrageenan.com/","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","amarta-carrageenan-indonesia","true"
"85",85,"Andi-Johnson Group (Fujian Ansen Marine Biotech)","China","Applications","http://www.andi-johnsongroup.com/","","","Hydrocolloids","Agar
Carrageenan","","","","","","","$0","","","","","andi-johnson-group-fujian-ansen-marine-biotech","true"
"86",86,"Aomori Seaweed Association","Japan","Multi-stakeholder platform","https://aomorikaisou.site/","","","","","","Producers association","","","","","$0","","","","","aomori-seaweed-association","true"
"87",87,"Aqitec","Netherlands","Infrastructure & equipment","https://www.aqitec.com/","","","","","","","","","","","$0","","","","","aqitec","true"
"88",88,"Aqua Botanika","UK","Farming & harvesting","https://www.linkedin.com/in/daniel-pt%C3%A1%C4%8Dek-12064a/","","Aquaculture","","","","","","0 - not started yet","","","$0","","","","","aqua-botanika","true"
"89",89,"Aqua Curo (Quayside Holdings)","New Zealand","Farming & harvesting","https://aquacuro.co.nz/","","Aquaculture
Land-based","Wastewater treatment","","","","2021","","","","$0","Pilot / Demonstration","","","","aqua-curo-quayside-holdings","true"
"90",90,"Aquagri","India","Applications
Farming & harvesting","http://aquagri.in/","","Aquaculture","Hydrocolloids
Feed
Plant & soil nutrition","Carrageenan
Alginate","","","2008","100 - 1000 tonnes","","","$0","","","","","aquagri","true"
"91",91,"Aquamoor","UK","Infrastructure & equipment","https://www.aquamoor.co.uk/","","","","","","","","","","","$0","","","","","aquamoor","true"
"92",92,"Aquarev Industries","India","Applications","http://www.aquarev.in/","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","aquarev-industries","true"
"93",93,"Aquatropia","Singapore","Farming & harvesting
Applications","https://www.linkedin.com/in/timothy-hromatka/","","Aquaculture
IMTA","Feed","Livestock methane reduction","","","","","","","$0","","","","","aquatropia","true"
"94",94,"Aquazor","Portugal","Farming & harvesting","https://www.europarl.europa.eu/cmsdata/197672/Presentation%20by%20Mr.%20Lopes,%20Aquazor.pdf","","Aquaculture
Offshore","","","","","2016","10 - 100 tonnes","","","$0","Pilot / Demonstration","","","","aquazor","true"
"95",95,"Araki Seaweed Shop","Japan","Applications","http://www.arakinoriten.com/","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","araki-seaweed-shop","true"
"96",96,"Aran Islands Seaweed","Ireland","Farming & harvesting
Applications","https://www.blathnamara.ie/","","Harvesting","Food","","","","","","","","$0","","","","","aran-islands-seaweed","true"
"97",97,"ARCA SpA","Chile","Farming & harvesting","https://www.linkedin.com/in/robinson-araya-pizarro-b6a69155/","","","","","","","2013","","","","$0","","","","","arca-spa","true"
"98",98,"Arctic Seaweed","Norway","Farming & harvesting","https://aseaweed.com/","Alaria esculenta
Saccharina latissima","Aquaculture","","","Orkla
Morten Kroslid","","2017","100 - 1000 tonnes","","Unnamed record","$0","Validation / Traction","$3,025,719","","Male CEO
Male founded","arctic-seaweed","true"
"99",99,"Ariba Seaweed","Tanzania","Farming & harvesting","","E. spinosum","Aquaculture","","","","","","","","","$0","","","","","ariba-seaweed","true"
"100",100,"Aristotle's Lantern","USA","Conservation & restoration","","","","","Urchin removal","Sea Ahead","","2021","","","","$0","Research / product development","","","Mixed founding team","aristotles-lantern","true"
"101",101,"Arm of the Ocean / Solkelp","Portugal","Farming & harvesting","https://www.theportugalnews.com/news/2022-01-30/pilot-project-for-production-of-macroalgae-in-the-open-sea/64900","","Aquaculture","","","","","2021","","","","$0","","","","","arm-of-the-ocean-/-solkelp","true"
"102",102,"Aromes Algues","Madagascar","Farming & harvesting","","Kappaphycus alvarezii","Aquaculture","","","","","","1000 - 10 000 tonnes","","","$0","","","","","aromes-algues","true"
"103",103,"Arramara Teo","Ireland","Farming & harvesting
Applications","https://www.arramara.ie/","Ascophyllum nodosum","Harvesting","Feed
Plant & soil nutrition","Livestock feed","","","","10 000 - 100 000 tonnes","","","$0","","","","","arramara-teo","true"
"104",104,"Asiagel","Philippines","Applications","http://www.asiagel.com/","","","","","","","","","","","$0","","","","","asiagel","true"
"105",105,"Asosiasi Rumput Laut Indonesia","Indonesia","Multi-stakeholder platform","https://www.arli.or.id/","","","","","","Producers association","","","","","$0","","","","","asosiasi-rumput-laut-indonesia","true"
"106",106,"ASPERLI (Seaweed Farmers Association/Asosiasi Petani Rumput Laut)","Indonesia","Multi-stakeholder platform","","","","","","","Producers association","","","","","$0","","","","","asperli-seaweed-farmers-association/asosiasi-petani-rumput-laut","true"
"107",107,"Atenbo Co.","Japan","Applications","http://www.atembo.jp/","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","atenbo-co","true"
"108",108,"Athena","South Korea","Applications","http://www.athenasc.co.kr/","","","Personal care","","","","2005","","","","$0","Scale-up / Industrialisation","","","Female CEO
Female founded","athena","true"
"109",109,"Atlantic Gold Seaweed","Ireland","Farming & harvesting
Applications","https://www.atlanticgold.eu/","Ascophyllum nodosum","Harvesting","Plant & soil nutrition","","","","","10 000 - 100 000 tonnes","","","$0","","","","","atlantic-gold-seaweed","true"
"110",110,"Atlantic Irish Seaweed","Ireland","Farming & harvesting","https://www.atlanticirishseaweed.com/","Fucus serratus","Harvesting","","","","","","","","","$0","","","","","atlantic-irish-seaweed","true"
"111",111,"Atlantic Sea Farms (Ocean Approved)","USA","Farming & harvesting
Applications","https://atlanticseafarms.com/","","Aquaculture","Food","","Desert Bloom Food Ventures
Builders Vision","","2009","100 - 1000 tonnes","","$3,100,000
$695,000
$590,000","$4,385,000","Scale-up / Industrialisation","","","Male founded
Female CEO","atlantic-sea-farms-ocean-approved","true"
"112",112,"AtSeaNova NV","Belgium","Infrastructure & equipment","https://atseanova.com/","","Wind/solar park multi-use","","","","","2016","","","","$0","Scale-up / Industrialisation","$3,054,414
$7,016,009
$1,999,318","","Male CEO","atseanova-nv","true"
"113",113,"Aurelis","Denmark","Farming & harvesting
Applications","http://aurelis.dk/","Kappaphycus alvarezii
Saccharina latissima
Palmaria palmata","Aquaculture
At-sea","Food","","","","2018","1000 - 10 000 tonnes","","","$0","Validation / Traction","","","","aurelis","true"
"114",114,"Auskelp","Australia","Farming & harvesting","https://www.auskelp.net/","Ecklonia radiata","Aquaculture","","","","","2020","0 - not started yet","","","$0","Research / product development","","","","auskelp","true"
"115",115,"Austevoll Seaweed Farm (Flyt Seaweed)","Norway","Farming & harvesting","https://www.flytseaweed.com/","Saccharina latissima","Aquaculture","Food","","","","2013","10 - 100 tonnes","","","$0","Scale-up / Industrialisation","$2,642,715","","Male CEO
Male founded","austevoll-seaweed-farm-flyt-seaweed","true"
"116",116,"Australian Kelp Products","Australia","Farming & harvesting
Applications","http://auskelp.com.au/","","Harvesting","Plant & soil nutrition
Feed","","","","","10 - 100 tonnes","","","$0","","","","","australian-kelp-products","true"
"117",117,"Australian Seaweed Institute","Australia","Multi-stakeholder platform","https://www.australianseaweedinstitute.com.au/","","","","","","Growing the industry","","","","","$0","","","","","australian-seaweed-institute","true"
"118",118,"Australian Sustainable Seaweed Alliance","Australia","Multi-stakeholder platform","https://www.seaweedalliance.org.au/","","","","","","Growing the industry","","","","","$0","","","","","australian-sustainable-seaweed-alliance","true"
"119",119,"Awganic Inputs","Jamaica","Farming & harvesting
Applications","","Sargassum sp.","Harvesting","Feed
Personal care
HABs","Livestock feed","","","2019","0 - not started yet","","","$0","Research / product development","","","Male CEO
Male founded","awganic-inputs","true"
"120",120,"Ayibo Food","China","Farming & harvesting
Applications","http://www.ayibofood.com/","Porphyra yezoensis","","Food","Dried/raw seaweed
Snacks and seasoning","","","","","","","$0","","","","","ayibo-food","true"
"121",121,"B.A. Ponla Enterprises","Philippines","Distribution","","","","","","","","","","","","$0","","","","","ba-ponla-enterprises","true"
"122",122,"B'zeos","Norway","Applications","https://www.bzeos.com/","","","Bioplastics","","Sustainable Ocean Alliance
EIT Food Accelerator Network","","2017","","","","$0","Research / product development","$1,688,093
$792,712
$1,860,073","","Male CEO
Male founded","bzeos","true"
"123",123,"B&V","Italy","Applications","https://www.agar.com/en/","","","Hydrocolloids","Agar","","","","","","","$0","","","","","bv","true"
"124",124,"Babuyan Seaweed Planters Association","Philippines","Farming & harvesting","","","Aquaculture","","","","","","","","","$0","","","","","babuyan-seaweed-planters-association","true"
"125",125,"Bantimurung Indah","Indonesia","Applications","http://bantimurungindah.com/","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","bantimurung-indah","true"
"126",126,"Barents Seaweed","Norway","Farming & harvesting","https://algenett.no/Deltakere/?Article=20","","Aquaculture","","","","","","","","","$0","","","","","barents-seaweed","true"
"127",127,"Barnacle Foods","USA","Farming & harvesting
Applications","https://www.barnaclefoods.com/","","Harvesting
Aquaculture","Food","","Sealaska","","2016","10 - 100 tonnes","","$1,500,000","$1,500,000","","","","","barnacle-foods","true"
"128",128,"Baroy Marine Products","Philippines","Distribution","","","","","","","","","","","","$0","","","","","baroy-marine-products","true"
"129",129,"Base Co.","Japan","Applications","http://base39.jp/index.html","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","base-co","true"
"130",130,"Beijing Century Bokang Pharmaceutical Technology Co., Ltd","China","Applications
Farming & harvesting","http://haornd.xinyaohui.com/","Fucus sp.","","Pharmaceuticals","","","","2005","","","","$0","","","","","beijing-century-bokang-pharmaceutical-technology-co-ltd","true"
"131",131,"Belize Women’s Seaweed Farmers Association","Belize","Farming & harvesting
Applications","https://bwsfa.com/","","Aquaculture","Food","","","","","","","","$0","","","","","belize-women’s-seaweed-farmers-association","true"
"132",132,"BeoBio Teoranta / Seamegro","Ireland","Farming & harvesting
Applications","https://seamegro.com/","Ascophyllum nodosum
Laminaria sp.","Harvesting
Aquaculture","Plant & soil nutrition
Feed","","","","2017","","","","$0","Validation / Traction","","","","beobio-teoranta-/-seamegro","true"
"133",133,"BettaF!sh","Germany","Applications","http://betterfish.de/","","","Food","","Pale Blue Dot
Astanor Ventures","","2020","","","Unnamed record","$0","Validation / Traction","","","Mixed founding team","bettafsh","true"
"134",134,"Better Plants","Ireland","Applications","http://betterplants.ie/","","","Plant & soil nutrition
Feed","Livestock feed
Aquafeed","","","","","","","$0","","","","","better-plants","true"
"135",135,"Beve Sea Enterprises","Philippines","Distribution","","","","","","","","","","","","$0","","","","","beve-sea-enterprises","true"
"136",136,"Bia Farraige Arann Seaweed","Ireland","Farming & harvesting
Applications","https://www.linkedin.com/company/bia-farraige-arann-seaweed/about/","","Harvesting","Food
Personal care","Snacks and seasoning","","","2017","","","","$0","","","","","bia-farraige-arann-seaweed","true"
